111(350|{-0.887356,-0.128379,-0.39241},174|{-0.882707,-0.175581,-0.115673})     1442(174|{-0.882707,-0.175581,-0.115673},350|{-0.887356,-0.128379,-0.39241})
112(175|{-0.882707,-0.175581,0.145983},173|{-0.890028,-0.10125,0.153307})       1447(173|{-0.890028,-0.10125,0.153307},175|{-0.882707,-0.175581,0.145983})
113(9|{-0.882707,-0.175581,-1},29|{-0.9,0,-1})  73(29|{-0.9,0,-1},9|{-0.882707,-0.175581,-1})
114(1|{-0.55557,-0.83147,-1},12|{-0.19509,-0.980785,-1})        2(12|{-0.19509,-0.980785,-1},1|{-0.55557,-0.83147,-1})
115(10|{-0.382683,-0.92388,-1},1|{-0.55557,-0.83147,-1})        135(1|{-0.55557,-0.83147,-1},10|{-0.382683,-0.92388,-1})
116(12|{-0.19509,-0.980785,-1},10|{-0.382683,-0.92388,-1})      143(10|{-0.382683,-0.92388,-1},12|{-0.19509,-0.980785,-1})
117(12|{-0.19509,-0.980785,-1},5|{-0.500013,-0.748323,-1})      5(5|{-0.500013,-0.748323,-1},12|{-0.19509,-0.980785,-1})
118(5|{-0.500013,-0.748323,-1},11|{-0.344415,-0.831492,-1})     140(11|{-0.344415,-0.831492,-1},5|{-0.500013,-0.748323,-1})
119(11|{-0.344415,-0.831492,-1},12|{-0.19509,-0.980785,-1})     120(12|{-0.19509,-0.980785,-1},11|{-0.344415,-0.831492,-1})
120(12|{-0.19509,-0.980785,-1},11|{-0.344415,-0.831492,-1})     119(11|{-0.344415,-0.831492,-1},12|{-0.19509,-0.980785,-1})
121(11|{-0.344415,-0.831492,-1},13|{-0.175581,-0.882707,-1})    159(13|{-0.175581,-0.882707,-1},11|{-0.344415,-0.831492,-1})
122(13|{-0.175581,-0.882707,-1},12|{-0.19509,-0.980785,-1})     123(12|{-0.19509,-0.980785,-1},13|{-0.175581,-0.882707,-1})
123(12|{-0.19509,-0.980785,-1},13|{-0.175581,-0.882707,-1})     122(13|{-0.175581,-0.882707,-1},12|{-0.19509,-0.980785,-1})
124(13|{-0.175581,-0.882707,-1},61|{0,-0.9,-1}) 171(61|{0,-0.9,-1},13|{-0.175581,-0.882707,-1})
125(61|{0,-0.9,-1},12|{-0.19509,-0.980785,-1})  127(12|{-0.19509,-0.980785,-1},61|{0,-0.9,-1})
126(61|{0,-0.9,-1},62|{0.175581,-0.882707,-1})  695(62|{0.175581,-0.882707,-1},61|{0,-0.9,-1})
127(12|{-0.19509,-0.980785,-1},61|{0,-0.9,-1})  125(61|{0,-0.9,-1},12|{-0.19509,-0.980785,-1})
128(62|{0.175581,-0.882707,-1},12|{-0.19509,-0.980785,-1})      668(12|{-0.19509,-0.980785,-1},62|{0.175581,-0.882707,-1})
129(158|{-0.55557,-0.83147,-0.716039},1|{-0.55557,-0.83147,-1}) 174(1|{-0.55557,-0.83147,-1},158|{-0.55557,-0.83147,-0.716039})
130(15|{-0.55557,-0.83147,1},159|{-0.55557,-0.83147,-0.151607}) 175(159|{-0.55557,-0.83147,-0.151607},15|{-0.55557,-0.83147,1})
131(367|{-0.526188,-0.847175,-0.712976},158|{-0.55557,-0.83147,-0.716039})      1461(158|{-0.55557,-0.83147,-0.716039},367|{-0.526188,-0.847175,-0.712976})
132(374|{-0.546828,-0.836143,-0.318639},367|{-0.526188,-0.847175,-0.712976})    1467(367|{-0.526188,-0.847175,-0.712976},374|{-0.546828,-0.836143,-0.318639})
133(159|{-0.55557,-0.83147,-0.151607},374|{-0.546828,-0.836143,-0.318639})      1481(374|{-0.546828,-0.836143,-0.318639},159|{-0.55557,-0.83147,-0.151607})
134(10|{-0.382683,-0.92388,-1},15|{-0.55557,-0.83147,1})        273(15|{-0.55557,-0.83147,1},10|{-0.382683,-0.92388,-1})
135(1|{-0.55557,-0.83147,-1},10|{-0.382683,-0.92388,-1})        115(10|{-0.382683,-0.92388,-1},1|{-0.55557,-0.83147,-1})
136(5|{-0.500013,-0.748323,-1},154|{-0.475304,-0.76153,-0.6824})        276(154|{-0.475304,-0.76153,-0.6824},5|{-0.500013,-0.748323,-1})
137(155|{-0.472993,-0.762765,-0.65269},25|{-0.344415,-0.831492,1})      277(25|{-0.344415,-0.831492,1},155|{-0.472993,-0.762765,-0.65269})
138(154|{-0.475304,-0.76153,-0.6824},368|{-0.471459,-0.763585,-0.681999})       1462(368|{-0.471459,-0.763585,-0.681999},154|{-0.475304,-0.76153,-0.6824})
139(368|{-0.471459,-0.763585,-0.681999},155|{-0.472993,-0.762765,-0.65269})     1468(155|{-0.472993,-0.762765,-0.65269},368|{-0.471459,-0.763585,-0.681999})
140(11|{-0.344415,-0.831492,-1},5|{-0.500013,-0.748323,-1})     118(5|{-0.500013,-0.748323,-1},11|{-0.344415,-0.831492,-1})
141(25|{-0.344415,-0.831492,1},11|{-0.344415,-0.831492,-1})     291(11|{-0.344415,-0.831492,-1},25|{-0.344415,-0.831492,1})
142(12|{-0.19509,-0.980785,-1},24|{-0.382683,-0.92388,1})       288(24|{-0.382683,-0.92388,1},12|{-0.19509,-0.980785,-1})
143(10|{-0.382683,-0.92388,-1},12|{-0.19509,-0.980785,-1})      116(12|{-0.19509,-0.980785,-1},10|{-0.382683,-0.92388,-1})
144(24|{-0.382683,-0.92388,1},10|{-0.382683,-0.92388,-1})       274(10|{-0.382683,-0.92388,-1},24|{-0.382683,-0.92388,1})
145(178|{-0.19509,-0.980785,-0.128526},12|{-0.19509,-0.980785,-1})      284(12|{-0.19509,-0.980785,-1},178|{-0.19509,-0.980785,-0.128526})
146(26|{-0.19509,-0.980785,1},179|{-0.19509,-0.980785,0.122974})        285(179|{-0.19509,-0.980785,0.122974},26|{-0.19509,-0.980785,1})
147(183|{-0.111193,-0.989048,0.139913},26|{-0.19509,-0.980785,1})       295(26|{-0.19509,-0.980785,1},183|{-0.111193,-0.989048,0.139913})
148(60|{0,-1,-1},182|{-0.0354559,-0.996508,-0.636518})  296(182|{-0.0354559,-0.996508,-0.636518},60|{0,-1,-1})
